id,sex,bw_6,bw_12,bw_18,bw_24,dead,age(days),target
UM31122,1,30,40.8,43.6,44.9,1,1265,725
UM31129,1,26,30.5,35,36.5,1,991,451
UM31136,1,28,34.3,39,42.2,1,1104,564
UM31185,1,35,43.1,45.8,49,1,1053,513
UM31192,1,36,44.8,42.5,42,0,640,100
UM31199,1,35,42.4,42.3,36.8,0,641,101
UM31227,1,31,37.8,43,33.8,1,1016,476
UM31234,1,32,38.5,37.9,42,1,861,321
UM31241,1,37,46.8,44.1,46.3,1,874,334
UM31346,1,44,0,0,0,0,242,-298
UM31353,1,32,0,0,0,0,242,-298
UM31360,1,30,0,0,0,0,242,-298
UM31437,1,31,41.2,45.5,35.4,1,975,435
UM31444,1,34,47.3,49,47.5,1,1010,470
UM31451,1,47,56.4,52.7,0,1,672,132
UM31458,1,33,41.3,43.5,39.9,1,950,410
UM31465,1,38,48.8,49.8,44.4,1,1070,530
UM31472,1,37,45.2,0,0,1,422,-118
UM31647,1,30,44.4,44,43.2,1,1182,642
UM31654,1,33,48.1,0,0,1,474,-66
UM31661,1,33,41.5,42.4,43.6,1,815,275
UM31696,1,37,47.5,44.8,43.2,1,1203,663
UM31703,1,37,48.3,50.6,45.9,1,876,336
UM31710,1,38,49.4,52,52.8,1,959,419
UM31717,1,29,37,35.5,0,1,655,115
UM31724,1,35,41.1,40,35,1,873,333
UM31731,1,36,43.7,42.5,41.2,1,1087,547
UM32011,1,31,35.5,39,40.7,1,1044,504
UM32018,1,32,41,40.5,0,1,612,72
UM32025,1,32,42.4,45.2,45.9,1,1041,501
UM32116,1,32,33.6,34.9,33.4,1,937,397
UM32123,1,37,40.9,45.6,39.8,1,903,363
UM32130,1,35,35.8,41.2,41.5,1,819,279
UM32137,1,38,45.9,47.8,46.4,1,803,263
UM32144,1,36,42.9,44.1,42.6,1,927,387
UM32151,1,32,42,43.9,46.9,1,1047,507
UM32256,1,38,44.9,0,0,0,535,-5
UM32263,1,35,45.6,0,0,0,535,-5
UM32270,1,39,48,0,0,0,536,-4
UM32410,1,30,40.8,0,0,1,506,-34
UM32417,1,30,46.1,48.5,0,1,715,175
UM32424,1,35,48.7,51,54.3,1,925,385
UM32704,1,35,45.9,47.8,45.8,1,1294,754
UM32711,1,37,46.8,51.9,51.5,1,1057,517
UM32718,1,37,45.3,42.1,0,1,647,107
UM32725,1,30,32,34.4,36.5,1,1066,526
UM32732,1,30,36.6,40.4,39.2,1,908,368
UM32739,1,31,35.4,38.2,41.4,1,768,228
UM32795,1,32,40.7,36.5,34.8,1,1146,606
UM32802,1,28,31.9,34.4,36.3,1,837,297
UM32809,1,39,45.4,45.7,0,1,724,184
UM32816,1,34,42.2,46.3,46.5,1,1146,606
UM32823,1,29,33.2,38.1,37.4,1,1176,636
UM32830,1,30,36.3,40.1,0,1,609,69
UM33005,1,33,47.1,43,35,1,809,269
UM33012,1,34,43.8,45.7,44.3,1,1125,585
UM33019,1,32,41,47,45,1,835,295
UM33208,1,32,42.6,45.3,47.5,1,1168,628
UM33215,1,35,43.1,45.4,41.6,1,1065,525
UM33222,1,42,47.9,49,51.4,1,993,453
UM33271,1,32,31.7,32.7,30.8,1,1026,486
UM33278,1,31,32.5,34.5,33.8,1,1041,501
UM33285,1,30,0,0,0,1,326,-214
UM33390,1,32,38.1,42.9,0,1,681,141
UM33397,1,35,42.8,43.3,0,1,626,86
UM33404,1,30,47.8,54.9,0,1,697,157
